"plot","subplot","species","date","year","block","div","species_name","ag_biomass"
1,"a","an","2-6.07.2018",2018,1,8,"Anthoxanthum odoratum","12.8051031941788"
1,"a","ar","2-6.07.2018",2018,1,8,"Arrhenaterum elatius","8.0591059464925596"
1,"a","ca","2-6.07.2018",2018,1,8,"Cardamine pratensis","NA"
1,"a","lu","2-6.07.2018",2018,1,8,"Luzula campestris","NA"
1,"a","or","2-6.07.2018",2018,1,8,"Origanum vulgare","1.29181919145288"
1,"a","po","2-6.07.2018",2018,1,8,"Poa trivialis","NA"
1,"a","tr","2-6.07.2018",2018,1,8,"Tragopogon pratensis","220.326371667876"
1,"a","ve","2-6.07.2018",2018,1,8,"Veronica chamaedrys","NA"
1,"b","an","2-6.07.2018",2018,1,8,"Anthoxanthum odoratum","4.9512796309439304"
1,"b","ar","2-6.07.2018",2018,1,8,"Arrhenaterum elatius","18.526088502484001"
1,"b","ca","2-6.07.2018",2018,1,8,"Cardamine pratensis","NA"
1,"b","lu","2-6.07.2018",2018,1,8,"Luzula campestris","NA"
1,"b","or","2-6.07.2018",2018,1,8,"Origanum vulgare","NA"
1,"b","po","2-6.07.2018",2018,1,8,"Poa trivialis","1.859575443577"
1,"b","tr","2-6.07.2018",2018,1,8,"Tragopogon pratensis","123.16545642299501"
1,"b","ve","2-6.07.2018",2018,1,8,"Veronica chamaedrys","NA"
1,"c","an","2-6.07.2018",2018,1,8,"Anthoxanthum odoratum","3.0096473206799299"
1,"c","ar","2-6.07.2018",2018,1,8,"Arrhenaterum elatius","10.8078938455675"
1,"c","ca","2-6.07.2018",2018,1,8,"Cardamine pratensis","NA"
1,"c","lu","2-6.07.2018",2018,1,8,"Luzula campestris","NA"
1,"c","or","2-6.07.2018",2018,1,8,"Origanum vulgare","NA"
1,"c","po","2-6.07.2018",2018,1,8,"Poa trivialis","1.3518913087887801"
1,"c","tr","2-6.07.2018",2018,1,8,"Tragopogon pratensis","115.47296752496401"
1,"c","ve","2-6.07.2018",2018,1,8,"Veronica chamaedrys","NA"
1,"d","an","2-6.07.2018",2018,1,8,"Anthoxanthum odoratum","5.47974308301501"
1,"d","ar","2-6.07.2018",2018,1,8,"Arrhenaterum elatius","17.9402972029831"
1,"d","ca","2-6.07.2018",2018,1,8,"Cardamine pratensis","NA"
1,"d","lu","2-6.07.2018",2018,1,8,"Luzula campestris","NA"
1,"d","or","2-6.07.2018",2018,1,8,"Origanum vulgare","1.5280929298017301"
1,"d","po","2-6.07.2018",2018,1,8,"Poa trivialis","2.10696352264618"
1,"d","tr","2-6.07.2018",2018,1,8,"Tragopogon pratensis","124.758503261554"
1,"d","ve","2-6.07.2018",2018,1,8,"Veronica chamaedrys","NA"
10,"a","an","2-6.07.2018",2018,1,4,"Anthoxanthum odoratum","4.7269090483162497"
10,"a","fe","2-6.07.2018",2018,1,4,"Festuca rubra","4.1065771713030799"
10,"a","ru","2-6.07.2018",2018,1,4,"Rumex acetosa","3.2561884392386502"
10,"a","tr","2-6.07.2018",2018,1,4,"Tragopogon pratensis","154.824725341142"
10,"b","an","2-6.07.2018",2018,1,4,"Anthoxanthum odoratum","1.9112"
10,"b","fe","2-6.07.2018",2018,1,4,"Festuca rubra","2.2231999999999998"
10,"b","ru","2-6.07.2018",2018,1,4,"Rumex acetosa","2.3472"
10,"b","tr","2-6.07.2018",2018,1,4,"Tragopogon pratensis","92.009600000000006"
10,"c","an","2-6.07.2018",2018,1,4,"Anthoxanthum odoratum","3.7614332210998902"
10,"c","fe","2-6.07.2018",2018,1,4,"Festuca rubra","NA"
10,"c","ru","2-6.07.2018",2018,1,4,"Rumex acetosa","5.1051553310886604"
10,"c","tr","2-6.07.2018",2018,1,4,"Tragopogon pratensis","202.840611447811"
10,"d","an","2-6.07.2018",2018,1,4,"Anthoxanthum odoratum","3.2289763066059902"
10,"d","fe","2-6.07.2018",2018,1,4,"Festuca rubra","6.4720794432766704"
10,"d","ru","2-6.07.2018",2018,1,4,"Rumex acetosa","3.1553623640333801"
