plot	species_code
1	G1
1	G3
1	G4
1	G5
1	F1
1	F3
1	F4
1	F5
2	G1
2	G2
2	G3
2	G4
2	G5
2	G6
2	F1
2	F2
2	F3
2	F4
2	F5
2	F6
3	G1
3	G2
3	G3
3	G4
3	G5
3	G6
3	F1
3	F2
3	F3
3	F4
3	F5
3	F6
4	G1
4	G2
4	G3
4	G4
4	F3
4	F4
4	F5
4	F6
5	F2
6	G2
6	G3
6	G5
6	G6
6	F1
6	F3
6	F4
6	F5
7	G1
7	G2
7	G5
7	G6
7	F2
7	F4
7	F5
7	F6
8	G4
8	G5
8	F3
8	F6
9	G3
9	G6
9	F2
9	F6
10	G4
10	G6
10	F1
10	F2
11	G1
11	G2
11	F1
11	F5
12	G3
12	G5
12	F4
12	F5
13	G2
13	G3
13	F4
13	F6
14	G2
14	G4
14	G5
14	G6
14	F2
14	F3
14	F5
14	F6
15	G1
16	G3
17	G6
18	G1
18	G3
18	G4
18	G6
18	F1
18	F2
18	F4
18	F5
19	G1
19	G2
19	G3
19	G4
19	G5
19	G6
19	F1
19	F2
19	F3
19	F4
19	F5
19	F6
20	F1
21	F5
22	G1
22	G2
22	G3
22	G4
22	G5
22	G6
22	F1
22	F2
22	F3
22	F4
22	F5
22	F6
23	G1
23	G2
23	G3
23	G4
23	G5
23	G6
23	F1
23	F2
23	F3
23	F4
23	F5
23	F6
24	G2
25	G1
25	G2
25	G3
25	G4
25	G5
25	G6
25	F1
25	F2
25	F3
25	F4
25	F5
25	F6
26	G2
26	G3
26	G4
26	G5
26	F1
26	F2
26	F4
26	F6
27	G2
27	G6
27	F3
27	F5
28	G1
28	G2
28	G3
28	G5
28	F1
28	F2
28	F5
28	F6
29	F4
30	G1
30	G2
30	G3
30	G4
30	G5
30	G6
30	F1
30	F2
30	F3
30	F4
30	F5
30	F6
31	G1
31	G3
31	F1
31	F3
32	G1
32	G4
32	G5
32	G6
32	F1
32	F3
32	F5
32	F6
33	G1
33	G2
33	G3
33	G6
33	F1
33	F2
33	F3
33	F6
34	G5
35	G4
36	G1
36	G5
36	F2
36	F4
37	G1
37	G2
37	G3
37	G4
37	G5
37	G6
37	F1
37	F2
37	F3
37	F4
37	F5
37	F6
38	G3
38	G4
38	G5
38	G6
38	F2
38	F3
38	F4
38	F6
39	F3
40	G4
40	G6
40	F3
40	F4
41	G2
41	G5
41	F1
41	F2
42	F6
43	G1
43	G4
43	F5
43	F6
44	G1
44	G2
44	G4
44	G6
44	F1
44	F2
44	F3
44	F4
45	G1
45	G3
45	G4
45	G5
45	F1
45	F3
45	F4
45	F5
46	G1
46	G2
46	G3
46	G4
46	G5
46	G6
46	F1
46	F2
46	F3
46	F4
46	F5
46	F6
47	G3
47	G5
47	F4
47	F5
48	G3
49	G2
49	G4
49	G5
49	G6
49	F2
49	F3
49	F5
49	F6
50	G3
50	G4
50	G5
50	G6
50	F2
50	F3
50	F4
50	F6
51	G1
51	G2
51	G4
51	G6
51	F1
51	F2
51	F3
51	F4
52	G1
52	G2
52	G3
52	G4
52	F3
52	F4
52	F5
52	F6
53	G1
53	G2
53	G3
53	G4
53	G5
53	G6
53	F1
53	F2
53	F3
53	F4
53	F5
53	F6
54	F4
55	F2
56	G2
56	G3
56	F4
56	F6
57	G2
57	G3
57	G5
57	G6
57	F1
57	F3
57	F4
57	F5
58	F3
59	G4
60	G2
60	G3
60	G4
60	G5
60	F1
60	F2
60	F4
60	F6
61	G2
61	G5
61	F1
61	F2
62	G1
62	G2
62	G3
62	G5
62	F1
62	F2
62	F5
62	F6
63	G5
64	G4
64	G6
64	F3
64	F4
65	G6
66	G1
66	G5
66	F2
66	F4
67	G1
67	G4
67	G5
67	G6
67	F1
67	F3
67	F5
67	F6
68	G1
68	G2
68	G3
68	G4
68	G5
68	G6
68	F1
68	F2
68	F3
68	F4
68	F5
68	F6
69	F1
70	G1
70	G2
70	G3
70	G4
70	G5
70	G6
70	F1
70	F2
70	F3
70	F4
70	F5
70	F6
71	G1
72	G4
72	G5
72	F3
72	F6
73	G1
73	G3
73	F1
73	F3
74	G1
74	G2
74	G3
74	G6
74	F1
74	F2
74	F3
74	F6
75	G3
75	G6
75	F2
75	F6
76	F6
77	G1
77	G2
77	G3
77	G4
77	G5
77	G6
77	F1
77	F2
77	F3
77	F4
77	F5
77	F6
78	G2
78	G6
78	F3
78	F5
79	G2
80	G1
80	G4
80	F5
80	F6
81	G4
81	G6
81	F1
81	F2
82	G1
82	G2
82	G3
82	G4
82	G5
82	G6
82	F1
82	F2
82	F3
82	F4
82	F5
82	F6
83	G1
83	G3
83	G4
83	G6
83	F1
83	F2
83	F4
83	F5
84	G1
84	G2
84	F1
84	F5
85	F5
86	G1
86	G2
86	G5
86	G6
86	F2
86	F4
86	F5
86	F6
87	G1
87	G2
87	G3
87	G4
87	G5
87	G6
87	F1
87	F2
87	F3
87	F4
87	F5
87	F6
88	G1
88	G2
88	G3
88	G4
88	G5
88	G6
88	F1
88	F2
88	F3
88	F4
88	F5
88	F6
